"","name","mode"
"1","батон",0.4
"2","хліб житньо-пшеничний",0.4
"3","хліб цільнозерновий",0.3
"4","хліб пшеничний",0.6
"5","торти",1
"6","банани",1
"7","лимони",1
"8","мандарини",1
"9","яблука",1
"10","ківі",1
"11","виноград",1
"12","ягоди",0.25
"13","апельсини",1
"14","кавуни",1
"15","цибуля ріпчаста",1
"16","морква",1
"17","картопля",1
"18","буряк",1
"19","капуста білокачанна",1
"20","помідори",1
"21","часник",1
"22","баклажани",1
"23","перець солодкий",1
"24","огірки",1
"25","гриби",0.5
"26","салати",1
"27","сухофрукти",0.2
"28","цукати",0.15
"29","сири плавлені",0.09
"30","сири розсольні",1
"31","крем-сир",0.125
"32","молоко пастеризоване жирністю до 2,6% включно",0.9
"33","молоко з підвищеним вмістом жиру",0.95
"34","сири м’які нежирні",0.2
"35","сири м’які жирні",0.2
"36","сирки та сиркова маса",0.2
"37","сметана жирністю до 15% включно",0.35
"38","сметана з підвищеним вмістом жиру",0.35
"39","йогурт",0.115
"40","морозиво",0.07
"41","кефір 2.5%",0.9
"42","масло вершкове 73%",0.2
"43","масло вершкове 82%",0.2
"44","маргарин",0.25
"45","яйця",1
"46","філе куряче",1
"47","свинина",1
"48","вирізка свиняча",1
"49","свинина гуляш",1
"50","свинина фарш",1
"51","свинина ребра",1
"52","субпродукти яловичні",1
"53","яловичина фарш",1
"54","субпродукти свинячі",1
"55","яловичина",1
"56","яловичина ребра",1
"57","сало",1
"58","вирізка яловича",1
"59","риба червона",1
"60","риба річна",1
"61","сосиски, сардельки вищого ґатунку",1
"62","ковбаси варені вищого ґатунку",1
"63","сосиски, сардельки першого ґатунку",1
"64","ковбаси сирокопчені в/ґ",1
"65","ковбаси варено-копчені в/ґ",1
"66","ковбаси варені першого ґатунку",1
"67","пиво",0.5
"68","вироби з м’яса делікатесні",1
"69","оселедці",0.18
"70","скумбрія копчена",1
"71","ікра червона",0.1
"72","морепродукти",0.2
"73","вино червоне сухе",0.75
"74","вино біле сухе",0.75
"75","сіль",0.5
"76","мед",0.25
"77","крупи гречані",1
"78","рис",1
"79","пшоно",1
"80","крупи манні",1
"81","пластівці вівсяні",0.5
"82","крупи ячні",0.8
"83","квасоля",0.2
"84","макарони",0.5
"85","борошно пшеничне",1
"86","цукор",1
"87","ром",0.7
"88","коньяк",0.5
"89","супи",0.05
"90","віскі",0.7
"91","майонез",0.3
"92","паста томатна",0.07
"93","кетчуп томатний",0.25
"94","олія соняшникова",0.85
"95","олія оливкова",0.5
"96","консерви рибні в олії",0.24
"97","горошок консервований",0.4
"98","кукурудза консервована",0.34
"99","гриби консервовані",0.58
"100","карамель",1
"101","зефір",1
"102","цукерки шоколадні",0.2
"103","вафлі",1
"104","печиво здобне",0.3
"105","печиво затяжне",0.11
"106","сік апельсиновий",1
"107","сік яблучний",1
"108","шампанське",0.75
"109","кава мелена",0.25
"110","кава розчинна",0.1
"111","чай у пакетиках",0.05
"112","солодка вода",0.5
"113","горілка",0.5
"114","кабачки",1
"115","сигарети з фільтром медіум класу",1
"116","сигарети з фільтром преміум класу",1
